record,IITKGP
12/1/2019,-0.9
1/1/2020,0.3
2/1/2020,-0.1
3/1/2020,-0.2
4/1/2020,0.3
5/1/2020,0.7
6/1/2020,-0.6
7/1/2020,0.7
8/1/2020,1.8
9/1/2020,1.5
10/1/2020,0.8
11/1/2020,1.1
12/1/2020,3
1/1/2021,3.2
2/1/2021,2.5
3/1/2021,0.6
4/1/2021,0.6
5/1/2021,0.8
6/1/2021,0.7
7/1/2021,2.3
8/1/2021,1
9/1/2021,1.3
10/1/2021,1.2
11/1/2021,1.6
12/1/2021,2.5
1/1/2022,0.8
2/1/2022,1.8
3/1/2022,2.9
4/1/2022,2.8
5/1/2022,2.4
6/1/2022,2.8
7/1/2022,1.3
8/1/2022,1.7
9/1/2022,2.7
10/1/2022,2.8
11/1/2022,0.5
12/1/2022,3.5
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
